,Unnamed: 0,artist,song,lyrics,complexity,swear_words_ratio
14,14,gojira,global warming,"Four hundred thousand years ago They came from outer space And gave us life here And we are just taking everything for granted I don't think we should do this now And when I see the smoke around I feel like I'm not from Humankind down there I feel like glaciers are my eyes And mountains are my head My heart is ocean And I feel all alone Cause everybody is wrong I fear the living What is this thing that we call hate And that's inside of me Get out of here!  A world is down And none can rebuild it Disabled lands are evolving My eyes are shut, a vision is dying My head explodes And I fall in disgrace  I hold my inner child within And tell him not to cry ""Don't fear the living"" One day you will stand as a king And no fear can erase This light below us Each one of us is now engaged This secret we all have This truth is growing And as a warrior I have to fight I can already feel The love I'll discover  I had this dream, our planet surviving The guiding stars always glowing And all the wealths The fates of the countries They're all rebuilding at the same time I never fell and always believed it We could evolve and get older Open thy eyes and let all this flow in Now see a new hope is growing inside  We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing We will see our children growing",0.0,0.006191950464396285
15,15,gojira,04,hello wooboot... this is wooboot... hum..... your two days away from your 50th birthday... and uhhh... i'd like to talk to you... its uh...???? 9 e picos da manhã* and uhhh... if you're not there... well uhhh... i'll call later... ,3.1,0.025
16,16,gojira,planned obsolescence,"Created weakness for the number on the board Absurd amount of things, obsolete creation The lust for always more, indulgence is hunger A greed of power, the demon needs to feed From cradle you've been taught how to rule and conquer The devil smiling, not this isn't real Black vultures in the mist approaching, now closer The end is coming, we'll take it from there A message goes to all the souls To all those staying, face turned to the ground You hold the key to infinite power That has always been here and forever Every time you step out, raise your voice Resurrected from the ground Designed for failure Behold of the waste is burnt to the ground Face down and broken We dedicate our essence to this game No better, time, let's dream on, wish for better You're on an elevated sense of greater These engines, power crushing down One day we'll wake up from this absolute nonsense A star long worshiped will burn in the red Disused and empty shell, icon of an old world Conscience awakened, we'll take it from there ",0.0,0.010810810810810811
17,17,gojira,only pain,"Since day one you try your best To get what you need the most The solution is you, becoming a god Only pain, all in vain The day you get to the point All illusions are lost The problem is you, becoming so cold Just wanted to be good Just wanted to be gold Just wanted to be god Just wanted to be ... Only pain, all in vain Take all, fear none Wake up, go strong I'm the lamb It's just another offering I reclaim the might and power Cast away long before dawn In a cage left to rot Creature fierce, tamed, is dying Lost the feel for all I've loved It's too strong I'm going down ",0.0,0.0
18,18,gojira,toxic garbage island,"Mysterious form, soul in the dark under this heavy sealing concrete waves Followed by servants, funeral cortege this pale ghost is gathering his strength Ghost, pale, the procession is crawling Plastic form dead things it is now so clear How could I fail to understand Cities are burning the trees are dying My heart awake but still pain is killing me Pain is killing me Take this pestilent destruction out of my way The great pacific garbage patch is exhausting And the world is sliding away in a vortex of floating refuse With the sacred one you have lost Plastic bag in the sea Plastic bag in the sea Plastic bag in the sea Plastic bag in the sea ",0.0,0.01680672268907563
19,19,gojira,the gift of guilt,"We leave the shores to see the mountains rising A distant impression growing This judgment creates the pain we hold Destructive intentions that serve no purpose But the end of us all These vultures from the past, coming In all the hells and worlds, the time has come Delivered from their eyes Embrace, suffer, destroy - the gift of guilt The shame and sorrow, self-condemnation Fell all the gaps and the spaces, unyielding Bestowed upon us, devastating power We're building connective tissue to a maze of lies We're left as starving orphans The vital core is gone Our sins are all over and over again we swallow We're sick and tired when this wind blows The reflex is insane We must forgive and stop blaming ourselves for this love These vultures from the past, coming In all the hells and worlds, the time has come Delivered from their eyes I'm leaving this behind - the gift of guilt ",0.0,0.03205128205128205
20,20,gojira,the heaviest matter of the universe,"Lay down fall away Lie awake Just cannot move My arms and legs I'm paralyzed Don't recall how to free Myself from this In the heart of the dark My face contorted Don't know how to reach the light But I feel so bad Like a freak in a cage Open the door Enter your heart You go so far Golden unworldly silence Space flight at speed of light I cross the clouds and colors The black hole is calling me I slide on the horizon On the frontier not to cross Black dwarf Time's gone distorted In the heart of the dark A whirl of light Enter in The realm of nothingness I feel the cold, my eyes are shut My fear is slowly dying Light years from here Are my thoughts and cages I can hear their moan But now a long deep breath Is calling Overtaking time And now understanding space I feel united I do cross light Feel the living Here in the center Stands the light of love That never can be touched From greater silence Shall return ",0.0,0.00546448087431694
21,21,gojira,the shooting star,"On the first light of the day you march on Departure has arrived, don't look back Avoid the darkness, stay away, stay out of sight Until you feel the blast of a shooting star Following the spark like a rocket in the sky Between the bear and the scorpion, getting close Headed north, frozen land, where tigers go to die Don't fear the cold, it'll numb your memories out You are higher In the sky Learn the skill to stay alive, survival The city is so mean, you're being watched Reach the tunnel, light the torch, you're on the hunt Until the light calls you back into the wild When you get to the other side please send a sign It'll fly through the atmosphere in time And if you hold the truth within your hands You won't be sent back, through the rain, reborn Everlasting love is ever-growing Hang on to what you have and let it grow Everlasting love is ever-dying It's in the past, you have to let it go ",0.0,0.0
22,22,gojira,liberation,(instrumental) ,0.0,0.0
23,23,gojira,ocean planet,"I'm in a mental cage I'm locked up Imprisoned I live Deathlike, sickening Strong is your hold On my resignation I don't see the stars My memories are veiled  In fluid dreams I fall I'm restless Walls made of stone Are turned into water now Enlightened demons Are taking me by the hand Approaching me This great eye speaking  Mountainous waves Are breaking on my despair Awaken me but I'm still dreaming And I just plunge Into this sea of light Set open the doors of soul I'm living  Lightning struck me I see the path I was so scared of And fly to the stars Conviction now increasing at last My skin is broken I see the smallest part of me My mind is alive But I'll never bow to this again  Why do they call me there How can I fly All this water I don't feel like I could ever swim to them Whales in the sky I feel they're so close Inside, and yet so far away  Burst into tears, I feel sad My dreams aflame The force is now Lie on a stone Drop this load and try to see The ocean planet is on burn",0.0,0.0
24,24,gojira,satan is a lawyer,"Lawyer talks, he's so correct, he is respect He learned how to make you feel safe and kill you with a smile And the food so fast, the hair so clean The moon so far, fire so weak All those words flying in the air Cannot see the stars Images, colors, like wrong perfection Wash my brain, dirty it's so clean But who are you? The mixture has no smell Soon you will sit on the bench of those who deny I have my soul You sell a dream you create Condemned by what you condemned before Smooth are the words you sing down and high Underground is your joy your laws Satan is a lawyer You choose the appeerance of the futile Trapped, a coner stops your back, you're out Before you grow you will die... ",0.0,0.0072992700729927005
25,25,gojira,esoteric surgery,"You have the power to heal yourself All illness can be healed the cell regenerates disambiguated situation There is a secret code in the structure of the mind You have the power to heal yourself Flesh bodies mute and blinded roaming uncertain, lost infected misinformed Releasing a black enormous insect out from the chest archaic form disease Esoteric surgery a dissection of the soul Unsuspected precise power on the wounded astral body projected beam of light All illness can be healed the cell regenerates disambiguated situation There is a secret code in the structure of the mind You have the power to heal yourself Suspended floating in empty spaces Descending swift like a fire running down Obstruction disintegration life force overcoming all circumstances Release the pain ",0.0,0.023809523809523808
26,26,gojira,from the sky,,0.0,0.0
27,27,gojira,1990 quatrillions de tonnes,,0.0,0.015037593984962405
28,28,gojira,magma,"Analyse this chemistry Producing poison And creeping in you veins For the love of blood The poison slowly spreads Through the body and the mind Close your eyes and drop your things Be ready to fly You are now, high In the sun, burn You're away, alive On the moon, round After walking all the miles Consumed into your bones And breathing all the dust Of the desert land I know that all long You were doing it for absolution It's written in you eyes You are now, high In the sun, burn You're away, alive On the moon, round Away Just want to fly away, always higher Away Embrace the light on the other side ",0.0,0.0
29,29,gojira,the axe,"I've been a victim to the blade against myself Bloodletting all of my soul Sucked in, paralyzed in this vortex Reduced to the silence In the dark Ive lingered too long This sharpened axe, beam of light I reach for and I master Wield against these shadows Its purpose now revealed in silence Keep searching, question if this light ends Now I will strike and dig with precision Introspective eye, erase the concept I lost my fears and the notion of time I healed my sorrow All boundaries are illusion When you reach the center light And reinforce the striking power By chance you're followed Its purpose now revealed in silence Keep searching, question if this light ends All ghosts dwelling in, inside, in the heart I see them all, release their shadow ",0.0,0.010752688172043012
30,30,gojira,liquid fire,"Ejected from the womb, unrestrained, I'm catching the wind Unfolded fire blows with the words, straight from within The second I was born I found a shelter deep in my own I ventured further out on the edge of the glacier This is how we talk to the world Pure liquid fire running through our veins We're in this alone, we bow to no one Carved by the waves, our sacred temple Sing the praises of no flag, we set the tone This is no fiction, we've come to an end now Our conviction untouched, we build a life straight Intelligence of the heart as only guidance Infinite power lies all around us and in the heart The flashes find a way, stealing through these broken walls And when this fire grows, it does it so we can remember The meaning of this life, we'll be marching until the end Had no taste for more lies, we are standing alone The bright treasure we found has no price and no name In the light of this star, with the forces aligned This is how we talk to the world Pure liquid fire running through our veins We're in this alone, we bow to no one Carved by the waves, our sacred temple Sing the praises of no flag, we set the tone This is no fiction, We've come to an end now Our conviction untouched, we build a life straight Intelligence of the heart as only guidance ",0.0,0.0
31,31,gojira,mouth of kala,"There's a river of time Let us worship this god of destruction On nothing we can reply All is gone, belong to the past You should learn by the time Everything changing over and over We're all falling so fast Keep on burning Overwhelming power Keep on burning, change The old me didn't survive Inexorable transfiguration There is something at war The red tainted flash on the wall I'm nowhere to be found Nothing matters, truth out of sight In the air I dissolve I'm fading away Overwhelming power Keep on burning, change ",0.0,0.006688963210702341
32,32,gojira,the wild healer,INSTRUMENTAL ,0.0,0.007936507936507936
33,33,gojira,the way of all flesh,"Anything that has a shape will crumble away, disappear We belong to the circle life of all creation We crawl and deny ourselves, refuse this evidence that we project our greatest fears on death and forget our power I want to live my life in close touch with the sacred Pacify the disturbances of the mind I face my own death Lower and lower is the pressure, I can feel the parts of me collapsing one into the other Higher state of consciousness awaken, I can see the light of this next world Leading my soul reborn I find it hard to believe that this picture on the wall is everything I do understand all the prayers, life is so sharp and hurts so bad What does it mean to be dying, what if you take the guts and brain away Is it this blood and heartbeat that you call life Every effort to ignore it is unavailing we all have to die Is it too late to dull the edges of the pain, I have to try This is an other dimension You can scatter ashes to the winds and even buried in the ground I'm still here Do not be afraid you are dying and the four great elements of your body are collapsing one into the other It feels as if you are being crushed by mountains The light of this world has faded completely But the light of the next world have not yet appeared Your breath is now still, no warmth to your skin Do not be afraid, there's no way that you can stay here You are leaving this world All lights are fading away now Leave behind the loved ones and all you know Do not be afraid and let yourself go ",6.4,0.008333333333333333
34,34,gojira,embrace the world,"I sit on a rock cannot be touched by struggle & confusion I reclaim my space inside my structure look at this point all is about nothing, everything comes near the remotest parts of the world by silence we can dissolve disruptive vibrations I have to try Gaïa's alive for good under my feet the forest over me the largest It's roundness I feel Lifelong misery How do we get to Avalon? There is a bridge beyond indestructible the earth is a temple I cannot see what is wrong and All gods are one I close my eyes I'm all around, I feel so present embracing it's vastness I hold facing the world I become a part of it I'm not alone anymore I embrace the world ",0.0,0.0
35,35,gojira,blow me away you niverse,"Reverse, blow me in that black hole down there Return through perfect circle of my retina No Gravity Watch Out! Hang Out! Fuck Off! Beyond! Out Yonder! Upsidedown I bleed on you so ease my pain, Blow Me Away You! Smash Up! wash away the blood from my body I see this halo of dust all around But my vision is clear I know I don't have any forces left To go the distance La dame des fauves I defy you, Artemis Shoot me between the eyes I want to face the day of reckoning Reunite, I want to embrace your light Implode, explode, both at the same time Destruction, let me disappear, fill my empty, Go to venus ('s) ",0.0,0.0
36,36,gojira,where dragons dwell,A deep voice is rising From the heart of the mountain Vibrations of the stone I can hear in my heart The call of instinct The flight of the powerful I hunger for it It just keeps me alive I met the dragon In a cave by the mountain Now I bring the evidence The beast is alive This ageless army Will strike in the morning And then a star will rise And shine in the sky But I grow impatient Cannot stand the wait And I start to dig Within me This tunnel to I In this region of me A great dragon is lying On the wealth of a mighty world My own world inside I saw I saw monsters And I And I started to dig within When I When I turn my back on them They devour me In this region of me A dragon is lying there Awake Monster Monsters kings Do not scorn them But do not fear them Muster Muster thy army Dragons are the myth alive In the heart of men ,0.0,0.0
37,37,gojira,remembrance,"I feel I come from better conditions buried deep in my mind I forgot awake my soul I want to find and drink this light Images of the past other lives and other places always the same embraces I return to where I've been I take inside a forward movement Involved in desire of consciousness progress, understand I want to find the keys of the past remember the past present future memory is a force so many things have happened to me the hardest of all But the gates would never again be opened to me unless I could bid them open at my own will and command I feel I come from better conditions (opened them at my own will and command) buried deep in my mind I forgot (opened them at my own will and command) always the same light, same embraces (opened them at my own will and command) I take inside a forward movement ",0.0,0.004608294930875576
38,38,gojira,adoration for none,Everyone is doing their best to destroy it Simplicity's forgotten And we all drill the ground I stand free I refuse to be surrounded The stones and dust bite hostile devours flesh and bone The weakest lost in hatred Consequence is upon my door Responsible for my own life I'm reborn again and again Driven to increase my own power by creation the purest choice Destined to rule my life and go the way of the flesh Nature is my only master I will bow to no one The ground is dry like rock without any hope left But now I decide to grab my life with my hands Crave for freedom build my own life Adoration for none Reaction is a weakness the strong cannot afford My path is not determined by actions of others They fill themselves with hate Covering their faces blackened the wolves are back and crave to kill Slip on stones and break their legs Try to hide from termination But the time has come You will have to pay the debt of nature And now you are the one To change the face of the world You wield the sword the pain is left aside And I have left my tears behind me So I refind the way I that I know So bright to me And I only adore the fact that we are the creators of our own lives Lust for power is the master disease of our time This force alone devours the weak and rules the strongest So mired in convolution It chokes the life from your throat Break the chains of complication I breathe the air of freedom There is no room for your judgment My life is mine alone I purge myself of resentment I breathe the air of freedom Breathe... ,0.0,0.0
39,39,gojira,all the tears,"Are we left all alone? Mother has no time but she cares for me and she cried all the tears I am joining now the river flow I am three days old Now the time has come You have to be man I don't want to destroy the only chance I have to survive down here The wind blows I'm so scared and the waves so big, I'm not prepared I will have to be strong but for now I cry all the tears Now enter the storm and feel electric sword My entire life is about to burn I am struggling, life is illusion But I keep the dream of a better time This secret knowledge I receive from where I am So precious the treasured icons Extended to this point Forget the ones that hurt They all want, they struggle They fight and try to dry their tears We are all left on our own We are bound yet by each others lives Now I'm leaving this world I will never forget the river flow The pains and traps of life I put my scars away and love I have to face the truth of living I left my boat behind I am not taking it Where I go I won't be crying I die ",0.0,0.0
40,40,gojira,to sirius,,7.8,0.0
41,41,gojira,dawn,,0.0,0.009615384615384616
42,42,gojira,on the bota,"Lost, a lion came and said: ""Come, on the brink of the abyss"" Watch my feet swinging in the great empty one Babel d'escaliers et d'arcades c'etait un palais infini No one else is able now to play with the answers And I open, my mind is so clear There's a door in the wall of time... ",3.1,0.022727272727272728
43,43,gojira,wisdom comes,he who learns must suffer and even in our sleep pain that cannot forget falls drop by drop upon the heart and in our own despair against our will comes wisdom to us by the awful grace of god ease your pain i cannot with suffering i don't he who learns must suffer and even in our sleep pain falls drop by drop upon the heart against our will wisdom comes ,0.0,0.009009009009009009
44,44,gojira,clone,"Clone Every Step you take is to the end Chaos, duplicate the human slaves Mother Nature so far away: Why? Perfect is the race you dream Right now, I make my choice Perfection you fake is not The soul, not a genetic code You fools, you ignoramuses Hatchery, the newborn to celebrate Ashes to ashes, I see respect in the dust Life is so perfect Now for the weak an abortion Celebrate perfection that grows The flesh, a gift of science The soul a fault of a god Life on its way to the state of fire From the cold taste of steel Light embraces the dark, lava flowing free and the cradle is... Forgot the reasons why - We all lie so pale On the playground of cold Mother Nature is at saturation point and the cradle is falling down... ",0.0,0.006134969325153374
45,45,gojira,explosia,"Jealousy will crush you to the bones Unless you open up and let it go I've only seen too much of it I'm bursting open while you set the tone You ignored this fury too long, I explode Bring back to life this anger, let it grow Put aside mind traps and false beliefs These heavy weights created pull you down The mask you wear is falling Try on and watch it fall Hands down you feel the moment Releasing out a lifetime All prayers to these gods While the tide is growing high Will you make us stronger When you strike us down? ",0.0,0.0
46,46,gojira,indians,"Ride a horse that's cleaving through the air and space of dreams travelling through time All alone I pray where am I? Who am I? And that old man trust in me His words are running now because we have lost all guides you're extended now to a world of light you're not the one you think you are since you were born you're only love On a mount I'm standing now and it's coming over me that I'm not here, I am on another plane humping around, hit myself I returned inside of me tears sliding down my face (I die again) And the horse is leaving me running out of space running out of reach you're not the one you think you are since you were born an Indian tribe ",0.0,0.0
47,47,gojira,fire is everything,"As I fight, trying to escape Covering my soul Watching the flames I must understand this wizard Fire is everything It burns, I provoke, It's beyond I feel, I create light Hypnotizing power I can't resist Reach out my hands, I feel the light Increase flames, the heat is oppressive Disturbs my brain, I want to dive in... Enter now so deep the flames, I respect the silence Overcome with cold I pray I see all the trees, the sky the grass, the oceans I embrace the world below And I know now all the reasons and all the countries Fire begins and fire ends Oh it burns, fire is all... ",0.0,0.0
48,48,gojira,a sight to behold,"Reflecting ourselves in the blood of all the beings we slay Misunderstand each other, out of control we remain There is a mystery, we're facing a sight to behold This is what we make of the world, we throw everything away The way we all behave is not understandable It is so sad to see the wealth of our planet fade away We all behave like children, taking off the head of our teddy bear to see what's inside, taking, not giving back We drain the oceans and suck all the blood out of the soil We spend the time we have left fighting and killing each other Lust for comfort, entertainment becomes an obsession And there is so much time to kill The way I see things is so simple The fact I'm walking standing on this land Exhausted is the realm of nature, friends are dying The living creatures on our side The way I see myself so confused so sophisticated I have to stay away from me But I still don't get the point What's worth destroying all the worlds Try not to get it anymore You burn yourself, set fire for good We die eyes closed, dig our own grave now Tossed in the blaze naked on the flame Lost with no pride, drowned in the filth The giant snake is coming down to eat our heads and the flood will kill us, Mantus is rising from under The way I see things is so simple The fact I'm living dying on this land Exhausted is the realm of nature, friends are dying The living creatures on our side The way I see myself so confused so sophisticated Don't have to stay away from me But I still don't get the point What's worth destroying all the worlds Try not to get it anymore Try not to get it anymore Try not to get it anymore Try not to get it anymore ",0.0,0.0
49,49,gojira,the silver cord,INSTRUMENTAL ,7.8,0.031914893617021274
50,50,gojira,deliverance,"Your words are so cold to me Indisposed, don't hear your orders Destroy the greatness of soul Normalize what's in your hands Take a look from the future Get up from your dream and see Deliverance soon is coming For those who know I take a sword in my hand now I fight & kill Thanatos Feel the ground under your feet The roots so deep Every step I chose to make was just a kind of torture I changed my ways Now positive the fear became Can't control my arms Emergy too strong, I feel Hypnotize myself, Blood boils inside For those who know, I want to be as clear, as real, as I protect Nothingness is all around I hate the taste of your words Every step I chose to make was just a kind of torture I changed my ways Now positive the fear became I hate the taste of my lost illusions I choose to live for the only reasons I felt on the ground I want to try ",0.0,0.0
51,51,gojira,yellow stone,(instrumental) ,0.0,0.0
52,52,gojira,wolf down the earth,"First of all you will eat all the bodies No matter they pray for freedom they'll kill you Forward you crush those going backward The wolves are now your lords Voracious flames upon the earth Second step you eat all the creation Swallow the trees the lakes and all the valleys Crush the moon, and drink the rivers flowing Deep rolling ocean blow Burning all that lives They teach you how to conquer and rule the world The towers that you built so strong, no man can touch They tell you how to find and raise the fears and let them grow inside of your heart they need no walls Is there a chance you face the void inside? Winds of doom will blow your pride away Behold the bright lights coming down on time Before these altars black, made from your sacrifice You take for granted what's been there for ages Inside the womb the new blood gets ready to fight The buildings of our fathers crumbling in dark vibrations Wolf down the one that made us all No hope, you wolf down the earth ",7.8,0.0
53,53,gojira,space time,"Space Time I fix my attention on this ball spinning round inside of me, deep inside Revolving conscious planet on an axis around this star By the light And the black holes in the vault of heaven make me wonder, wonder why How matter can disappear Are there doors in this wall to reach the light from time and space Now I see those mounts of fear feel the weight of nonsense killing simplicity I can touch this wind of night that erases our light and makes us paranoiac But my legs are now so tired climbing all alone, all space, and all the time So I fix my attention now on this perfect planet revolving around this star And the sun, it seems so close I can touch the heat of presence and I know... I can see this monster light that embraces those notions: space and time The black holes in the sky, I ask the reasons why Light blackened? Door opened? Swim back time, door giving entrance to Supernova as only light Meet the earth and all the stars The entrance, the essence, supply us ",0.0,0.0
54,54,gojira,from mars,I just looked myself Straight in the eyes and saw That I had to move To higher places So I took my courage In both hands and I pushed off the ground With all my might Took off from the red place In the sky I fly I have lost my reason And I've made my sense From up there I will see Where I'm from And where the force of love Will tell me now to go But why do you say That you are lost If you don't even try To find yourself My words are a stair I put my feet on And I climb through A starless night to my place ,3.1,0.0
55,55,gojira,torii,,0.0,0.0
56,56,gojira,unicorn,Instrumental ,0.0,0.0
57,57,gojira,terra incognita,,0.0,0.005681818181818182
58,58,gojira,world to come,"I'm sitting by a lake But it's not of this earth The water is so clear And the birds are alive A mirror for the sky They see themselves And fly away I'm sitting by a lake The universe is alive I lay down by the river-flow It's a river of stars I'm living by the ocean It's an ocean of light How do you call This place around us It's a world that I once saw In a dream Will you please tell me now If I'm dead or alive Landscapes so bright All around It's a city of light Were who when and why? I think therefore I am I feel like I know this land But it must be so far away... This world is life This ""clouds-and-wonders"" Is all I need And it will never go You say it's lost I don't believe it This is my vision We can never know This is the earth But ages after I know the world Will overcome its' pain The simple fact I dream about it Already makes it Happen in the rain It's right in front But you don't face it I'm dedicated All my life in me And made of light Our sun is growing Like in the heart of some of us I pray And other lands You will discover This form of life Is not the only one I was a child And I just knew it And now I know The vision came alive ",0.0,0.008403361344537815
59,59,gojira,pray,"We pray, pray for the light to reign We call, we call the day We rise, pray for the wind to blow We know, we know the way No faith in your world Create my own to thrive No faith in your world Create my own to thrive We pray, pray for the light to reign We call, we call the day No faith in your world Create my own to thrive No faith in your world Create my own to thrive ",0.0,0.0
60,60,gojira,wisdom,,0.0,0.0
61,61,gojira,5988 trillions de tonnes,Вытерты глаза и выжжены мысли Расставлен по местам их свет Из биссера звезд из черной выси В дверь тихо постучав Я приношу тебе рассвет Где я улетаю Степным огнем Что забирает с собою все Я улетаю.... Но обречен Не надо меня винить... не надо винить меня Черным огнем поднимет нас на небо Белым огнем - согреет руки твои Может это сон и я не разу тут не был Но мы встретимся вновь за пять секунд до весны Где я улетаю Степным огнем Что забирает с собою все Я улетаю.... Но обречен Не надо меня винить... не надо винить меня ,0.0,0.010309278350515464
62,62,gojira,19910 quadrillions de tonnes,[Instrumental] ,0.0,0.0
63,63,gojira,connected,,0.0,0.032679738562091505
64,64,gojira,over the flows,Over the flows I take my time I search and turn around Watching the stars I want to dive in the sky deep inside of me Over the sky I found a place I can be no need to run Follow my heart I understand why and when and what it's all about Watching the signs dancing all around Over the flows I find now a way speak the words already know and now I learn open the door ,0.0,0.005813953488372093
65,65,gojira,death of me,"A giant bright eagle has come on me and taken away my universe I find myself in trouble now I put my soul in irresponsible hands exhausted I no longer try to reveal myself and I no longer want to free my soul But I must not forget all what I did for us This way I feel myself irreplaceable You had finally come to death and you will never come to life again Burn ego's black reality bring on the light I want to see your face I feel the end is near for me my world goodbye people of the dead, I join you in this confusion I don't even recall my name there is something inside I want to reveal I feel like I'm a part of this and this a part of me I know one must have confidence I will overcome From now on I'm ""this"", and not ""me"" I feel like I'm rising from the dead From up here I see my inner world is dying I'll overcome my pain ",8.3,0.013761467889908258
66,66,gojira,the link,"I want to protect myself from others Dream, I run to a better place hell, illusions, see This state of me unconscious cannot want to undertake to feel my soul I want to build some fire burn myself I decide what I see Call my name, i'll be there for you Wrong and right I want to create things beyond, insight life I want to build some fire run to myself, dive find a link between wrong and right understand, you create what you are be the link, you are what you create And now comes fire Left and right connected call my name i'll be there I am there for you now understand, you create what you are ",5.3,0.02066115702479339
67,67,gojira,rise,"History erased my story, my ancestors but I'm still alive Clenched fist, I bite the floor My eyes turn to red I raise my voice, show my fury Wide open to the sun I put my hands in this source of light In that constant energy Present at my funeral I know I'll rise And meet myself reborn Sculpt entrance out of rock Now advance without a respite Go back to the source I raise my head ",5.3,0.02158273381294964
68,68,gojira,yama s messengers,"I'm scared to death when I see them arrive Infected eyes red, staring at me The time has come for retribution Now they're counting my actions The cries and shouts are confusing me Falling in disgrace, I don't want to go now And I am facing them, it seems they recognize me It's too late for regrets They're growing darker while approaching me, creeping Prowling vultures in the sky Devoured by a ravening beast Raised, fallen from the dead Endure the pain they're giving me slow Flashes of life blurred by suffering Distant reminder of funeral piles Thousands of people dying I'm taking back all the pain distributed Through ages unconscious My brain scattered, feed habitants of this cage Consuming my heart I've killed so many, I don't want to count I spent a life raping the world both far and near before you now I come, please help creator, faultless one! ",7.3,0.022222222222222223
